Frage;gpt-oss-120b_context_precision;gpt-oss-120b_context_recall;gpt-oss-120b_faithfulness;gpt-oss-120b_answer_correctness;llama-3.3-70b_context_precision;llama-3.3-70b_context_recall;llama-3.3-70b_faithfulness;llama-3.3-70b_answer_correctness;mistral-24b_context_precision;mistral-24b_context_recall;mistral-24b_faithfulness;mistral-24b_answer_correctness;llama-3.1-8b_context_precision;llama-3.1-8b_context_recall;llama-3.1-8b_faithfulness;llama-3.1-8b_answer_correctness
Wie fange ich überhaupt an? Was sind die ersten Schritte beim Aufbau eines ISMS?;0.8972;1.0;1.0;0.2616;0.9094;1.0;1.0;0.5007;0.7037;1.0;1.0;0.2803;1.0;1.0;0.0;0.6692
Wie gehen wir bei der Cloud-Nutzung mit dem veränderten Administrationsmodell um?;0.9429;1.0;0.5833;0.4679;1.0;1.0;0.8333;0.4392;0.2087;1.0;0.7778;0.6388;0.8542;1.0;0.0;0.6947
Wie implementiere ich eine hochverfügbare SAN-Lösung richtig?;0.7;0.5;0.2667;0.534;0.7329;1.0;0.8;0.6741;0.203;0.5;0.2667;0.405;0.7333;1.0;0.3846;0.2926
Wie kann ein zentrales Identitätsmanagement organisatorische Risiken reduzieren?;1.0;1.0;0.0833;0.3629;1.0;1.0;1.0;0.4834;0.763;0.625;0.4;0.5199;1.0;0.5;0.0;0.7235
Wie kann verhindert werden, dass rechtliche Anforderungen übersehen werden?;0.8333;1.0;0.4286;0.7315;1.0;1.0;1.0;0.608;0.2602;1.0;0.4286;0.3726;0.3667;1.0;0.44;0.4542
Wie werden integrierte Fernwartungsfunktionen in IT-Systemen abgesichert?;0.9306;1.0;0.3;0.5791;1.0;1.0;1.0;0.4729;0.2796;1.0;0.9231;0.5657;0.8542;1.0;0.8889;0.5413
Wie werden organisatorische und technische Maßnahmen in Bezug auf Telearbeit miteinander verzahnt?;0.6458;0.7692;0.4118;0.4177;0.9821;1.0;1.0;0.3755;0.0198;1.0;0.8462;0.3777;0.5;0.4;0.625;0.5736
Wie wird mit institutionsfremden Personen organisatorisch umgegangen?;0.8542;1.0;0.0;0.1113;0.8552;1.0;1.0;0.5263;0.8608;0.4286;1.0;0.4646;0.3333;1.0;0.1429;0.8387
Wie wird sichergestellt, dass Mitarbeitende IT-Sicherheitsregeln einhalten?;0.9583;0.6429;0.0;0.0931;1.0;1.0;1.0;0.3782;0.1703;1.0;1.0;0.424;0.0;1.0;0.6667;0.4909
Wie wird verhindert, dass Mitarbeitende Sicherheitsmaßnahmen im Homeoffice vernachlässigen?;0.7862;1.0;0.3333;0.2916;1.0;1.0;1.0;0.4285;0.1666;0.9091;0.625;0.736;0.5;0.9167;0.5;0.3858
Womit muss ich anfangen, wenn wir Cloud-Dienste nutzen wollen?;0.826;0.9;0.6667;0.5123;1.0;1.0;1.0;0.6114;0.3616;1.0;0.9167;0.5059;0.71;1.0;0.8125;0.3452
